City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
321,yemva,62.59,50.8594,-3.44,90,86,3.14,RU,1699818274
322,ancud,-41.8697,-73.8203,9.78,52,40,4.83,CL,1699818274
323,shingu,33.7333,135.9833,10.61,76,64,9.11,JP,1699818274
324,bubaque,11.2833,-15.8333,28.33,69,22,4.19,GW,1699818275
325,areia branca,-4.9561,-37.1369,31.11,71,5,9.06,BR,1699818276
326,beruniy,41.6911,60.7525,4.98,65,0,3.09,UZ,1699818277
327,peniche,39.3558,-9.3811,19.05,93,42,4.21,PT,1699818031
328,kourou,5.1552,-52.6478,28.8,71,53,3.77,GF,1699818278
329,behshahr,36.6923,53.5526,13.97,52,66,1.63,IR,1699818278
330,wenling,28.3669,121.36,8.38,63,11,7.1,CN,1699818279
331,nova sintra,14.8667,-24.7167,23.46,68,29,6.37,CV,1699818279
332,thunder bay,48.4001,-89.3168,6.99,81,100,2.06,CA,1699817690
333,jawf al maqbabah,13.8378,45.8349,22.73,52,9,2.68,YE,1699818280
334,xiongzhou,25.1167,114.3,12.94,80,100,2.18,CN,1699818281
335,bamboo flat,11.7,92.7167,25.05,94,75,0.51,IN,1699818281
336,shindand,33.3029,62.1474,13.64,36,0,1.8,AF,1699818282
337,bernardo de irigoyen,-26.2552,-53.6458,30.81,53,32,2.77,AR,1699818283
338,fallon,39.4735,-118.7774,17.18,21,75,2.06,US,1699817950
339,hecun,36.5333,114.1111,3.34,53,100,1.3,CN,1699818284
340,tralee,52.2704,-9.7026,10.08,97,100,3.47,IE,1699818284
341,san pedro del parana,-26.8333,-56.2,34.78,58,0,3.18,PY,1699818285
342,svetlyy,54.675,20.1347,7.98,87,57,3.84,RU,1699818285
343,saint croix,17.7397,-64.7388,31.25,73,40,7.72,VI,1699818218
344,westport,41.1415,-73.3579,7.88,53,0,2.57,US,1699818286
345,rio grande,-32.035,-52.0986,16.08,89,100,2.72,BR,1699818265
346,wakkanai,45.4094,141.6739,0.61,66,100,4.02,JP,1699818287
347,rydultowy,50.0586,18.417,4.45,91,99,2.24,PL,1699818288
348,port lincoln,-34.7333,135.8667,12.85,83,77,5.2,AU,1699818288
349,bikenibeu village,1.3673,173.1241,26.98,94,100,4.63,KI,1699818288
350,san ignacio de velasco,-16.3667,-60.95,37.73,28,75,5.92,BO,1699818289
351,victorica,-36.2151,-65.4359,18.42,19,13,4.22,AR,1699818289
352,castillos,-34.1667,-53.8333,18.69,73,100,3.33,UY,1699818290
353,antunez,19.0167,-102.2,31.98,50,3,0.9,MX,1699818290
354,banamba,13.55,-7.45,28.45,11,12,4.13,ML,1699818290
355,dohad,22.8333,74.2667,20.57,31,44,2.65,IN,1699818291
356,san antonio de pale,-1.4014,5.6325,26.41,84,100,5.47,GQ,1699818291
357,antofagasta,-23.65,-70.4,19.6,67,13,5.8,CL,1699818125
358,kolonia town,6.964,158.206,28.6,75,96,4.23,FM,1699818292
359,ouani,-12.1322,44.4258,27.46,80,5,4.18,KM,1699818293
360,karasu,41.071,30.7854,16.6,68,100,1.73,TR,1699818293
361,tharyarwady,17.65,95.8,24.34,93,100,2.44,MM,1699818294
362,fada n'gourma,12.0622,0.3578,29.78,12,28,3.11,BF,1699818295
363,kudahuvadhoo,2.6708,72.8944,27.86,72,32,1.7,MV,1699818295
